Virat Kohli
Rohit Sharma
KL Rahul
Jasprit Bumrah
Ravindra Jadeja
Shreyas Iyer
Hardik Pandya
Shubman Gill
Mohammed Shami
Rishabh Pant
Yuzvendra Chahal
Ravichandran Ashwin

Babar Azam
Shaheen Afridi
Shadab Khan
Mohammad Rizwan
Haris Rauf
Fakhar Zaman
Imad Wasim
Shoaib Malik
Hasan Ali
Iftikhar Ahmed
Mohammad Nawaz
Sarfaraz Ahmed
Ben Stokes
Joe Root
Jos Buttler
Jofra Archer
Sam Curran
Moeen Ali
Ollie Pope
Jonny Bairstow
Chris Woakes
Mark Wood
Zak Crawley
Dominic Sibley
Pat Cummins
David Warner
Steve Smith
Marnus Labuschagne
Mitchell Starc
Glenn Maxwell
Alex Carey
Marcus Stoinis
Cameron Green
Josh Hazlewood
Travis Head
Nathan Lyon
