
Alex Carey
Babar Azam
Ben Stokes
Cameron Green
Chris Woakes
David Warner
Dominic Sibley
Fakhar Zaman
Glenn Maxwell
Hardik Pandya
Haris Rauf
Hasan Ali
Iftikhar Ahmed
Imad Wasim
Jasprit Bumrah
Joe Root
Jofra Archer
Jonny Bairstow
Jos Buttler
Josh Hazlewood
KL Rahul
Marcus Stoinis
Mark Wood
Marnus Labuschagne
Mitchell Starc
Moeen Ali
Mohammad Nawaz
Mohammad Rizwan
Mohammed Shami
Nathan Lyon
Ollie Pope
Pat Cummins
Ravichandran Ashwin
Ravindra Jadeja
Rishabh Pant
Rohit Sharma
Sam Curran
Sarfaraz Ahmed
Shadab Khan
Shaheen Afridi
Shoaib Malik
Shreyas Iyer
Shubman Gill
Steve Smith
Travis Head
Virat Kohli
Yuzvendra Chahal
Zak Crawley
